# RaceRender Data
"Time", "Longitude", "Latitude", "Altitude", "X", "Y", "KPH", "Heading", "RPM", "Gear", "Throttle", "Accelerometer X Axis", "Gyroscope X Axis", "Vertical DOP", "Humidity", "Battery Voltage", "Gyroscope Y Axis", "Temperature 1", "Internal Temperature", "Vertical Acceleration", "Temperature 2", "Steering Angle", "Gyroscope Z Axis", "Accelerometer Z Axis", "Pressure", "GPS Lateral Acceleration", "GPS Distance", "Positional DOP", "Barometric Temperature", "GPS Longitudinal Acceleration", "Horizontal DOP", "Accelerometer Y Axis"
0,5.561912,50.988851,128.148096,,,12.189720,85.296010,4046.000000,,,-0.158000,3.315000,0.850000,68.300000,12.000000,-0.757000,31.430000,26.180000,0.002551,158.400000,0.000000,17.757000,1.003000,100580.000000,-0.039057,0.169495,1.040000,24.640000,0.149518,0.610000,0.000000
0.1,5.561918,50.988852,128.126000,,,12.490000,84.292740,4042.405101,,,-0.147000,3.898000,0.850000,68.300000,12.000000,1.257000,31.470000,26.180000,0.073980,161.200000,0.000000,13.949000,1.046000,100580.000000,-0.004105,0.516315,1.040000,24.640000,0.133929,0.610000,0.008000
0.2,5.561924,50.988852,128.079000,,,13.010000,84.689000,4037.000000,,,-0.136000,4.279000,0.850000,68.300000,12.000000,-0.178000,31.500000,26.180000,-0.020408,163.190000,0.000000,9.095408,1.015000,100580.000000,0.008822,0.875268,1.040000,24.640000,0.134637,0.610000,-0.046000
0.3,5.561930,50.988852,128.066000,,,13.330000,84.620370,4043.000000,,,-0.182274,1.143000,0.850000,68.290666,12.000000,-0.181000,31.528004,26.179067,-0.210459,165.570340,0.000000,6.274109,1.073000,100580.000000,-0.009374,1.248055,1.040000,24.639067,0.173611,0.610000,-0.006000
0.4,5.561937,50.988853,128.033000,,,14.070000,84.904380,4036.693694,,,-0.197000,1.923000,0.850000,68.280662,12.000000,1.765000,31.560000,26.178066,-0.058673,168.290000,0.000000,4.942340,1.001000,100580.000000,-0.054354,1.636736,1.040000,24.638066,0.173611,0.610000,-0.040000
0.5,5.561943,50.988854,127.950000,,,14.720000,83.877620,4022.179295,,,-0.151207,1.355751,0.850000,68.270658,12.000000,0.551983,31.588034,26.177066,0.248724,170.850440,0.000000,4.413000,0.974000,100580.000000,-0.072739,2.042465,1.040000,24.637066,0.138889,0.610000,0.008000
0.6,5.561950,50.988855,127.878000,,,15.130000,82.628720,4005.572393,,,-0.138000,1.039068,0.850000,68.260654,12.000000,-0.189324,31.620000,26.176065,0.150510,173.770000,0.000000,5.495917,1.063000,100580.000000,-0.033531,2.461784,1.040000,24.636065,0.137472,0.610000,-0.030008
0.7,5.561957,50.988855,127.897000,,,15.620000,82.204390,3978.318080,,,-0.220000,0.834010,0.850000,68.250650,12.000000,-0.766087,31.648050,26.175065,-0.105867,174.555400,0.000000,6.547913,0.789520,100580.000000,-0.009716,2.896125,1.040000,24.635065,0.142432,0.610000,-0.086607
0.8,5.561963,50.988856,127.855000,,,16.170000,82.513770,3945.580645,,,-0.152057,0.634000,0.850000,68.240646,12.000000,0.307640,31.680000,26.174065,-0.158163,175.450000,0.000000,7.581847,0.672000,100580.000000,-0.009018,3.343424,1.040000,24.634065,0.111253,0.610000,-0.119000
0.9,5.561970,50.988857,127.830000,,,16.590000,81.829610,3906.419355,,,-0.087000,1.130000,0.850000,68.230642,12.000000,0.184000,31.703387,26.173064,-0.028061,175.248874,0.000000,7.899000,0.942876,100580.000000,-0.005798,3.801624,1.040000,24.633064,0.070862,0.610000,0.094000
