# RaceRender Data
"Time", "Longitude", "Latitude", "Altitude", "X", "Y", "KPH", "Heading", "RPM", "Gear", "Throttle", "DOP Positional", "Température 1", "Axe Z Gyroscope", "Axe Accéléromètre Y", "GPS Lateral Acceleration", "Vertical Acceleration", "Humidity", "Pression", "Voltage Batterie", "Température Barométrique", "Distance GPS", "Axe Accéléromètre Z", "Axe X Gyroscope", "DOP Vertical", "Temperature Interne", "Angle du Volant", "Température 2", "DOP Horizontal", "Axe Y Gyroscope", "GPS Longitudinal Acceleration", "Axe Accéléromètre X"
0,4.499671,50.093789,215.950000,,,12.060000,59.373950,5463.000000,,,1.140000,38.430000,-17.690000,0.013000,0.006229,-0.029320,48.900000,99890.000000,12.030000,33.110000,0.168657,0.943000,3.174000,0.950000,38.840000,0.000000,221.800000,0.620000,3.726000,0.085592,-0.157000
0.1,4.499675,50.093791,215.943000,,,12.670000,59.781450,5456.636637,,,1.140000,38.450000,-17.957000,-0.010000,0.038674,-0.067230,48.900000,99890.000000,12.030000,33.110000,0.514486,1.100000,3.954000,0.950000,38.840000,0.000000,225.250000,0.620000,-1.771000,0.115580,-0.150000
0.2,4.499680,50.093793,215.917000,,,13.380000,61.444530,5450.765191,,,1.140000,38.460000,-17.753790,0.051000,0.101509,-0.082182,48.900000,99890.000000,12.030000,33.110000,0.876711,1.288000,0.297000,0.950000,38.840000,0.000000,227.920000,0.620000,-4.214140,0.189984,-0.037000
0.3,4.499685,50.093794,215.906000,,,14.330000,63.954990,5447.912978,,,1.140000,38.494697,-17.649000,0.079000,0.128644,-0.103865,48.900000,99890.000000,12.030000,33.110000,1.261936,1.305000,5.084000,0.950000,38.840000,0.000000,232.609925,0.620000,-0.630440,0.245181,-0.175600
0.4,4.499691,50.093796,215.853000,,,15.180000,64.806290,5442.000000,,,1.140000,38.520000,-22.265000,-0.037898,0.133307,-0.075255,48.900000,99890.000000,12.030000,33.110000,1.671673,0.909396,0.612819,0.950000,38.840000,0.000000,236.030000,0.620000,2.995548,0.242347,-0.121774
0.5,4.499697,50.093797,215.822000,,,15.950000,67.882030,5447.563391,,,1.122157,38.554727,-18.881000,-0.020827,0.170831,0.016582,48.900000,99890.000000,12.030000,33.110000,2.102139,0.706000,-2.267000,0.935131,38.840000,0.000000,240.081526,0.612070,12.079000,0.184949,-0.225000
0.6,4.499703,50.093798,215.777000,,,16.170000,69.728790,5451.708927,,,1.104151,38.580000,-25.717000,-0.063295,0.214925,0.118622,48.900000,99890.000000,12.030000,33.110000,2.549069,0.902000,1.120899,0.920126,38.840000,0.000000,243.030000,0.604067,0.481000,0.201247,-0.188000
0.7,4.499710,50.093799,215.763000,,,17.800000,73.773530,5459.181545,,,1.086146,38.608950,-23.304000,-0.257000,0.206459,0.191327,48.895089,99889.508853,12.030000,33.110982,3.024616,1.107208,2.861000,0.905122,38.840000,0.000000,246.810870,0.596065,1.695000,0.312500,-0.249000
0.8,4.499717,50.093801,215.769000,,,18.730000,73.755120,5463.000000,,,1.068140,38.630000,-34.972000,0.037854,0.117046,0.094388,48.885086,99888.508553,12.030000,33.112983,3.528386,1.140119,-1.721414,0.890117,38.840000,0.000000,249.560000,0.588062,-1.318166,0.293367,0.057000
0.9,4.499725,50.093802,215.786000,,,19.380000,74.999910,5450.000000,,,1.050135,38.658964,-16.084587,0.051744,0.111069,-0.198980,48.875083,99887.508252,12.030000,33.114983,4.056679,0.881507,-3.525000,0.875113,38.840000,0.000000,253.325383,0.580060,-2.933000,0.217545,-0.121432
